date,rate
2024-01-02,1.1050
2024-01-03,1.1075
2024-01-04,1.1020
2024-01-05,1.1095
2024-01-08,1.1120
2024-01-09,1.1085
2024-01-10,1.1150
2024-01-11,1.1180
2024-01-12,1.1140
2024-01-15,1.1200
2024-01-16,1.1235
2024-01-17,1.1190
2024-01-18,1.1260
2024-01-19,1.1295
2024-01-22,1.1250
2024-01-23,1.1320
2024-01-24,1.1355
2024-01-25,1.1310
2024-01-26,1.1380
2024-01-29,1.1415
2024-01-30,1.1370
2024-01-31,1.1440
2024-02-01,1.1475
2024-02-02,1.1430
2024-02-05,1.1500
2024-02-06,1.1535
2024-02-07,1.1490
2024-02-08,1.1560
2024-02-09,1.1595
2024-02-12,1.1550
2024-02-13,1.1620
2024-02-14,1.1655
2024-02-15,1.1610
2024-02-16,1.1680
2024-02-20,1.1640
2024-02-21,1.1710
2024-02-22,1.1745
2024-02-23,1.1700
2024-02-26,1.1770
2024-02-27,1.1805
2024-02-28,1.1760
2024-02-29,1.1830
2024-03-01,1.1865
2024-03-04,1.1820
2024-03-05,1.1890
2024-03-06,1.1925
2024-03-07,1.1880
2024-03-08,1.1950
2024-03-11,1.1985
2024-03-12,1.1940
2024-03-13,1.2010
2024-03-14,1.2045
2024-03-15,1.2000
2024-03-18,1.2070
2024-03-19,1.2105
2024-03-20,1.2060
2024-03-21,1.2130
2024-03-22,1.2165
2024-03-25,1.2120
2024-03-26,1.2190
2024-03-27,1.2225
2024-03-28,1.2180
