date,rate
2024-01-02,4.25
2024-01-03,4.28
2024-01-04,4.22
2024-01-05,4.30
2024-01-08,4.35
2024-01-09,4.32
2024-01-10,4.38
2024-01-11,4.41
2024-01-12,4.36
2024-01-15,4.40
2024-01-16,4.45
2024-01-17,4.42
2024-01-18,4.48
2024-01-19,4.52
2024-01-22,4.50
2024-01-23,4.55
2024-01-24,4.58
2024-01-25,4.54
2024-01-26,4.60
2024-01-29,4.62
2024-01-30,4.58
2024-01-31,4.65
2024-02-01,4.70
2024-02-02,4.68
2024-02-05,4.72
2024-02-06,4.75
2024-02-07,4.71
2024-02-08,4.78
2024-02-09,4.82
2024-02-12,4.80
2024-02-13,4.85
2024-02-14,4.88
2024-02-15,4.84
2024-02-16,4.90
2024-02-20,4.92
2024-02-21,4.88
2024-02-22,4.95
2024-02-23,4.98
2024-02-26,4.94
2024-02-27,5.00
2024-02-28,5.02
2024-02-29,4.98
2024-03-01,5.05
2024-03-04,5.08
2024-03-05,5.04
2024-03-06,5.10
2024-03-07,5.12
2024-03-08,5.08
2024-03-11,5.15
2024-03-12,5.18
2024-03-13,5.14
2024-03-14,5.20
2024-03-15,5.22
2024-03-18,5.18
2024-03-19,5.25
2024-03-20,5.28
2024-03-21,5.24
2024-03-22,5.30
2024-03-25,5.32
2024-03-26,5.28
2024-03-27,5.35
2024-03-28,5.38
